ADD	R	3	0	000000	100000
ADDI	I	2	1	001000	0
ADDIU	I	2	1	001001	0
ADDU	R	3	0	000000	100001
CLZ	R	2	0	011100	100000
CLO	R	2	0	011100	100001
LA	Pseudo	1	1	000000	000000
LI	Pseudo	1	1	000000	000000
LUI	I	1	1	001111	000000
MOVE	Pseudo	2	0	000000	000000
NEGU	pseudo	2	0	000000	000000
SEB	R	2	0	000000	111100
SEH	R	2	0	000000	111100
SUB	R	3	0	000000	100010
SUBU	R	3	0	000000	100011
AND	R	3	0	000000	100100
ANDI	I	2	i	000000	
NOR	R	3	0	000000	100111
NOT	R	2	0	000000	
OR	R	3	0	000000	100101
ORI	I	2	1	001101		
XOR	R	3	0	000000	100110
XORI	I	2	1	001110
DIV	R	2	0	000000	011010
DIVU	R	2	0	000000	011011
MADD	R	2	0	011100	000000
MADDU	R	2	0	011100	000001
MSUB	R	2	0	011100	000100
MSUBU	R	2	0	011100	000101
MUL	R	3	0	000000	000010
MULT	R	2	0	000000	011000
MULTU	R	2	0	000000	011001
ROTR	R	2	0	000000	000000	<<<<<<<<
ROTRV	R	3	0	000000	
SLL	R	2	1	000000
SLLV	R	3	0	000000	000100
SRA	R	2	1	000000	000011
SRAV	R	3	0	000000	000111
SRL	R	2	1	000000	000010
SRLV	R	3	0	000000	000110
